nombre;Token0;Token1;Token2;Token3;Token4;Token5;Token6;Token7
grecia;grecia;;;;;;;
groenlandia;groenlandia;;;;;;;
guadalupe;guadalupe;;;;;;;
guam;guam;;;;;;;
guatemala;guatemala;;;;;;;
guayana francesa;guayana;francesa;;;;;;
guernsey;guernsey;;;;;;;
guinea;guinea;;;;;;;
guinea ecuatorial;guinea;ecuatorial;;;;;;
guinea-bissau;guinea-bissau;;;;;;;
guyana;guyana;;;;;;;
haiti;haiti;;;;;;;
honduras;honduras;;;;;;;
hong kong;hong;kong;;;;;;
hungria;hungria;;;;;;;
india;india;;;;;;;
indonesia;indonesia;;;;;;;
iran;iran;;;;;;;
irak;irak;;;;;;;
irlanda;irlanda;;;;;;;
isla bouvet;isla;bouvet;;;;;;
isla de man;isla;de;man;;;;;
isla de navidad;isla;de;navidad;;;;;
isla norfolk;isla;norfolk;;;;;;
islandia;islandia;;;;;;;
islas bermudas;islas;bermudas;;;;;;
islas caiman;islas;caiman;;;;;;
islas cocos (keeling);islas;cocos;(keeling);;;;;
islas cook;islas;cook;;;;;;
islas de aland;islas;de;aland;;;;;
islas feroe;islas;feroe;;;;;;
islas georgias del sur y sandwich del sur;islas;georgias;del;sur;y;sandwich;del;sur
islas heard y mcdonald;islas;heard;y;mcdonald;;;;
islas maldivas;islas;maldivas;;;;;;
islas malvinas;islas;malvinas;;;;;;
islas marianas del norte;islas;marianas;del;norte;;;;
islas marshall;islas;marshall;;;;;;
islas pitcairn;islas;pitcairn;;;;;;
islas salomon;islas;salomon;;;;;;
islas turcas y caicos;islas;turcas;y;caicos;;;;
islas ultramarinas menores de estados unidos;islas;ultramarinas;menores;de;estados;unidos;;
islas virgenes britanicas;islas;virgenes;britanicas;;;;;
islas virgenes de los estados unidos;islas;virgenes;de;los;estados;unidos;;
israel;israel;;;;;;;
italia;italia;;;;;;;
jamaica;jamaica;;;;;;;
japon;japon;;;;;;;
jersey;jersey;;;;;;;
jordania;jordania;;;;;;;
kazajistan;kazajistan;;;;;;;
kenia;kenia;;;;;;;
kirguistan;kirguistan;;;;;;;
kiribati;kiribati;;;;;;;
kuwait;kuwait;;;;;;;
libano;libano;;;;;;;
laos;laos;;;;;;;
lesoto;lesoto;;;;;;;
letonia;letonia;;;;;;;
liberia;liberia;;;;;;;
libia;libia;;;;;;;
liechtenstein;liechtenstein;;;;;;;
lituania;lituania;;;;;;;
luxemburgo;luxemburgo;;;;;;;
mexico;mexico;;;;;;;
monaco;monaco;;;;;;;
macao;macao;;;;;;;
macedonia;macedonia;;;;;;;
madagascar;madagascar;;;;;;;
malasia;malasia;;;;;;;
malawi;malawi;;;;;;;
mali;mali;;;;;;;
malta;malta;;;;;;;
marruecos;marruecos;;;;;;;
martinica;martinica;;;;;;;
mauricio;mauricio;;;;;;;
mauritania;mauritania;;;;;;;
mayotte;mayotte;;;;;;;
micronesia;micronesia;;;;;;;
moldavia;moldavia;;;;;;;
mongolia;mongolia;;;;;;;
montenegro;montenegro;;;;;;;
montserrat;montserrat;;;;;;;
mozambique;mozambique;;;;;;;
namibia;namibia;;;;;;;
nauru;nauru;;;;;;;
nepal;nepal;;;;;;;
nicaragua;nicaragua;;;;;;;
niger;niger;;;;;;;
nigeria;nigeria;;;;;;;
niue;niue;;;;;;;
noruega;noruega;;;;;;;
nueva caledonia;nueva;caledonia;;;;;;
nueva zelanda;nueva;zelanda;;;;;;
oman;oman;;;;;;;
paises bajos;paises;bajos;;;;;;
pakistan;pakistan;;;;;;;
palau;palau;;;;;;;
palestina;palestina;;;;;;;
panama;panama;;;;;;;
papua nueva guinea;papua;nueva;guinea;;;;;
paraguay;paraguay;;;;;;;
peru;peru;;;;;;;
polinesia francesa;polinesia;francesa;;;;;;
polonia;polonia;;;;;;;
portugal;portugal;;;;;;;
puerto rico;puerto;rico;;;;;;
qatar;qatar;;;;;;;
reino unido;reino;unido;;;;;;
republica centroafricana;republica;centroafricana;;;;;;
republica checa;republica;checa;;;;;;
republica dominicana;republica;dominicana;;;;;;
republica de sudan del sur;republica;de;sudan;del;sur;;;
reunion;reunion;;;;;;;
ruanda;ruanda;;;;;;;
rumania;rumania;;;;;;;
rusia;rusia;;;;;;;
sahara occidental;sahara;occidental;;;;;;
samoa;samoa;;;;;;;
samoa americana;samoa;americana;;;;;;
san bartolome;san;bartolome;;;;;;
san cristobal y nieves;san;cristobal;y;nieves;;;;
san marino;san;marino;;;;;;
san martin (francia);san;martin;(francia);;;;;
san pedro y miquelon;san;pedro;y;miquelon;;;;
san vicente y las granadinas;san;vicente;y;las;granadinas;;;
santa elena;santa;elena;;;;;;
santa lucia;santa;lucia;;;;;;
santo tome y principe;santo;tome;y;principe;;;;
senegal;senegal;;;;;;;
serbia;serbia;;;;;;;
seychelles;seychelles;;;;;;;
sierra leona;sierra;leona;;;;;;
singapur;singapur;;;;;;;
sint maarten;sint;maarten;;;;;;
siria;siria;;;;;;;
somalia;somalia;;;;;;;
sri lanka;sri;lanka;;;;;;
sudafrica;sudafrica;;;;;;;
sudan;sudan;;;;;;;
suecia;suecia;;;;;;;
suiza;suiza;;;;;;;
surinam;surinam;;;;;;;
svalbard y jan mayen;svalbard;y;jan;mayen;;;;
swazilandia;swazilandia;;;;;;;
tayikistan;tayikistan;;;;;;;
tailandia;tailandia;;;;;;;
taiwan;taiwan;;;;;;;
tanzania;tanzania;;;;;;;
territorio britanico del oceano indico;territorio;britanico;del;oceano;indico;;;
territorios australes y antarticas franceses;territorios;australes;y;antarticas;franceses;;;
timor oriental;timor;oriental;;;;;;
togo;togo;;;;;;;
tokelau;tokelau;;;;;;;
tonga;tonga;;;;;;;
trinidad y tobago;trinidad;y;tobago;;;;;
tunez;tunez;;;;;;;
turkmenistan;turkmenistan;;;;;;;
turquia;turquia;;;;;;;
tuvalu;tuvalu;;;;;;;
ucrania;ucrania;;;;;;;
uganda;uganda;;;;;;;
uruguay;uruguay;;;;;;;
uzbekistan;uzbekistan;;;;;;;
vanuatu;vanuatu;;;;;;;
venezuela;venezuela;;;;;;;
vietnam;vietnam;;;;;;;
wallis y futuna;wallis;y;futuna;;;;;
yemen;yemen;;;;;;;
yibuti;yibuti;;;;;;;
zambia;zambia;;;;;;;
zimbabue;zimbabue;;;;;;;
